,Ticker,Company,Sector,Industry,Market Cap,Perf Month,Perf Quart,Perf Half,Volatility M,SMA20,SMA50,Avg Volume,Price,Earnings
0,RKDA,"Arcadia Biosciences, Inc.",Consumer Defensive,Packaged Foods,227730000.0,26.3885,23.6418,9.0,0.1294,29.5821,27.719299999999997,282180.0,8.6,-
1,CDIO,"Cardio Diagnostics Holdings, Inc.",Healthcare,Biotechnology,64220000.0,5.5347,2.3,-0.3353,0.33030000000000004,3.4437,4.2354,2130000.0,6.6,-
2,MSGM,Motorsport Games Inc.,Communication Services,Electronic Gaming & Multimedia,85270000.0,2.346,0.6826000000000001,0.4679,0.3909,-0.3766,0.1209,1400000.0,8.8,-
3,SLQT,"SelectQuote, Inc.",Financial,Insurance Brokers,433330000.0,2.0459,2.6313,0.7786,0.1783,0.3823,1.1536,2590000.0,2.49,Feb 07/b
4,AMAM,Ambrx Biopharma Inc.,Healthcare,Biotechnology,295320000.0,1.9303,11.2708,2.2363,0.2325,0.9884999999999999,1.4564,6470000.0,5.89,-
5,GNLX,Genelux Corporation,Healthcare,Biotechnology,360650000.0,1.8988,,,0.1311,1.2951,1.3521,151950.0,16.9,-
6,STIX,"Semantix, Inc.",Technology,Software - Application,261670000.00000003,1.8902,1.9346,-0.0342,0.22440000000000002,0.9066,1.6119999999999999,80180.0,3.82,Nov 29/a
7,SERA,"Sera Prognostics, Inc.",Healthcare,Diagnostics & Research,117040000.0,1.3333000000000002,1.6718000000000002,0.6054999999999999,0.1525,0.55,0.9937999999999999,1340000.0,3.5,-
8,ATCX,"Atlas Technical Consultants, Inc.",Industrials,Engineering & Construction,477440000.0,1.234,1.3728,0.4292,0.006,0.0021,0.49060000000000004,416970.0,12.22,-
9,MHUA,"Meihua International Medical Technologies Co., Ltd.",Healthcare,Medical Instruments & Supplies,851470000.0,1.222,1.4569999999999999,7.1676,0.2441,0.2732,0.9709,45210.0,29.73,-
10,RETA,"Reata Pharmaceuticals, Inc.",Healthcare,Biotechnology,3870000000.0,1.2068,1.439,2.8708,0.14279999999999998,1.0993000000000002,1.3032,1010000.0,93.17,-
11,NGL,NGL Energy Partners LP,Energy,Oil & Gas Midstream,420890000.0,1.1779000000000002,1.8629,1.1914,0.1061,0.5458,1.0501,987580.0,3.55,Feb 09/a
12,TA,TravelCenters of America Inc.,Consumer Cyclical,Specialty Retail,1270000000.0,0.9505,0.6393,0.4428,0.0232,0.3496,0.6139,427990.0,84.26,-
13,LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense,224030000.0,0.9118,0.9554,0.9897,0.6595,-0.06480000000000001,0.3517,610710.0,19.28,-
14,GALT,Galectin Therapeutics Inc.,Healthcare,Biotechnology,125400000.0,0.8142,0.5891,0.0622,0.09140000000000001,0.2922,0.5494,106910.0,2.05,-
15,HUGE,FSD Pharma Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,93590000.0,0.7967,1.0359,0.7789,0.1042,0.1131,0.5031,144590.0,1.69,-
16,PESI,"Perma-Fix Environmental Services, Inc.",Industrials,Waste Management,92590000.0,0.7881,0.8210999999999999,0.35159999999999997,0.0632,0.11630000000000001,0.46630000000000005,53840.0,6.92,-
17,INOD,Innodata Inc.,Technology,Information Technology Services,170030000.0,0.7704000000000001,1.3056,1.0292000000000001,0.1304,0.1285,0.5897,82020.0,6.94,Feb 23/b
18,BGXX,Bright Green Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,163470000.0,0.7547,0.6402,-0.1143,0.2173,-0.056900000000000006,0.3735,4000000.0,0.93,-
19,NRDS,"NerdWallet, Inc.",Financial,Credit Services,1480000000.0,0.7498,0.5115,1.0138,0.0711,0.29,0.6607999999999999,462800.0,20.42,Feb 14/a
20,TCRX,"TScan Therapeutics, Inc.",Healthcare,Biotechnology,74810000.0,0.7308,0.3636,0.15380000000000002,0.0968,0.3148,0.539,158860.0,3.15,-
21,HYPR,"Hyperfine, Inc.",Healthcare,Medical Devices,110330000.0,0.7123999999999999,0.9103,0.042,0.22390000000000002,0.1809,0.46159999999999995,1410000.0,1.49,-
22,ARBE,Arbe Robotics Ltd.,Technology,Software - Infrastructure,371400000.0,0.7040000000000001,0.4428,-0.203,0.1059,0.32630000000000003,0.4752,887760.0,5.93,Mar 02/b
23,THCH,TH International Limited,Consumer Cyclical,Restaurants,849600000.0,0.7016,0.5727,-0.48869999999999997,0.1501,0.0705,0.3428,191040.0,5.19,-
24,ATLX,Atlas Lithium Corporation,Basic Materials,Other Precious Metals & Mining,104000000.0,0.6962999999999999,0.3185,0.0788,0.1631,0.4432,0.5635,384140.0,13.35,-
25,MLTX,MoonLake Immunotherapeutics,Healthcare,Biotechnology,1040000000.0,0.6736,1.2026000000000001,1.5806,0.09720000000000001,0.26780000000000004,0.5433,104120.0,20.0,-
26,VRCA,Verrica Pharmaceuticals Inc.,Healthcare,Biotechnology,329730000.0,0.655,1.9380000000000002,1.1292,0.10400000000000001,0.1043,0.5249,178840.0,7.58,-
27,CDTX,"Cidara Therapeutics, Inc.",Healthcare,Biotechnology,145610000.0,0.6198,1.8200999999999998,1.7325,0.1065,0.254,0.698,1510000.0,1.96,-
28,MGTA,"Magenta Therapeutics, Inc.",Healthcare,Biotechnology,50590000.0,0.59,-0.30260000000000004,-0.5378000000000001,0.0797,0.0034999999999999996,0.2955,2830000.0,0.8,-
29,SPPI,"Spectrum Pharmaceuticals, Inc.",Healthcare,Biotechnology,190380000.0,0.5891,0.9693,-0.3065,0.1118,0.0252,0.39880000000000004,1890000.0,0.86,-
30,AVRO,"AVROBIO, Inc.",Healthcare,Biotechnology,59370000.0,0.5889,0.6396999999999999,0.5053,0.1653,0.0403,0.36579999999999996,1280000.0,1.43,-
31,TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream,1540000000.0,0.5856,0.4476,0.8422,0.0529,0.2548,0.4291,484980.0,46.57,Feb 23/b
32,OCUL,"Ocular Therapeutix, Inc.",Healthcare,Biotechnology,476190000.0,0.5644,1.0931,0.1855,0.0867,0.1912,0.49310000000000004,1370000.0,6.07,Mar 06/a
33,UVE,"Universal Insurance Holdings, Inc.",Financial,Insurance - Property & Casualty,477020000.0,0.561,0.8107,0.5663,0.0506,0.41609999999999997,0.5689,244190.0,18.81,Feb 23/a
34,UPXI,"Upexi, Inc.",Communication Services,Internet Content & Information,91370000.0,0.5577000000000001,0.2,0.1355,0.0789,0.20420000000000002,0.382,50800.0,4.86,Feb 14/a
35,PYXS,"Pyxis Oncology, Inc.",Healthcare,Biotechnology,88670000.0,0.5513,0.669,-0.09699999999999999,0.07919999999999999,0.3775,0.5690999999999999,174740.0,2.42,-
36,HIMS,"Hims & Hers Health, Inc.",Consumer Defensive,Household & Personal Products,2360000000.0,0.5477000000000001,0.9026000000000001,0.8964,0.062,0.2564,0.47509999999999997,2049999.9999999998,11.53,Feb 27/a
37,LUXH,LuxUrban Hotels Inc.,Consumer Cyclical,Lodging,67880000.0,0.5357,0.8429000000000001,0.0,0.0803,0.1887,0.3636,55570.0,2.58,-
38,BSGM,"BioSig Technologies, Inc.",Healthcare,Medical Devices,63480000.0,0.5352,1.5799,0.0,0.12890000000000001,-0.0851,0.3099,450940.0,1.09,-
39,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,150930000.0,0.5146999999999999,2.6464999999999996,1.4929,0.1845,0.0584,0.3029,2420000.0,0.91,-
40,FORA,Forian Inc.,Healthcare,Health Information Services,165860000.0,0.5141,0.8434999999999999,0.18969999999999998,0.1011,0.1739,0.5086999999999999,41880.0,4.83,-
41,BLBD,Blue Bird Corporation,Consumer Cyclical,Auto Manufacturers,695870000.0,0.4854,0.8833,0.7706000000000001,0.0603,0.18420000000000003,0.43329999999999996,218930.0,21.3,Feb 08/a
42,ASRT,"Assertio Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,284950000.0,0.4851,1.0801,1.236,0.0633,0.2505,0.38280000000000003,1390000.0,5.97,-
43,NAT,Nordic American Tankers Limited,Industrials,Marine Shipping,934730000.0,0.4816,0.33030000000000004,0.6406999999999999,0.0535,0.2511,0.35810000000000003,3500000.0,4.43,Feb 27/b
44,TYRA,"Tyra Biosciences, Inc.",Healthcare,Biotechnology,525490000.0,0.4729,0.9768000000000001,0.7351000000000001,0.1192,0.011000000000000001,0.3157,46740.0,12.77,-
45,VEON,VEON Ltd.,Communication Services,Telecom Services,1480000000.0,0.4668,0.2223,0.6208,0.0874,0.0475,0.2502,1480000.0,0.73,-
46,MYNA,Mynaric AG,Technology,Communication Equipment,128580000.00000001,0.4647,0.44799999999999995,-0.15460000000000002,0.0857,0.1539,0.3763,9770.0,6.4,-
47,TRMD,TORM plc,Energy,Oil & Gas Midstream,2960000000.0,0.46340000000000003,0.36829999999999996,0.7711,0.0337,0.1805,0.2556,274520.0,36.22,-
48,NEO,"NeoGenomics, Inc.",Healthcare,Diagnostics & Research,2210000000.0,0.46340000000000003,0.6764,0.6239,0.0675,0.23260000000000003,0.4282,1060000.0,16.58,Feb 23/b
49,MTW,"The Manitowoc Company, Inc.",Industrials,Farm & Heavy Construction Machinery,661770000.0,0.46240000000000003,1.0822,0.9087999999999999,0.0452,0.2752,0.5412,262660.0,19.26,Feb 20/a
50,LAZR,"Luminar Technologies, Inc.",Consumer Cyclical,Auto Parts,2940000000.0,0.46130000000000004,0.226,0.0709,0.1201,0.2685,0.449,10900000.0,9.06,-
51,BMEA,"Biomea Fusion, Inc.",Healthcare,Biotechnology,393790000.0,0.4603,0.9708,0.2053,0.07200000000000001,0.35090000000000005,0.5559000000000001,69790.0,14.15,-
52,GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,149880000.0,0.457,0.4585,0.4378,0.0393,0.1257,0.3078,45120.0,14.22,Feb 06/b
53,CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,829940000.0,0.4515,0.48310000000000003,0.4473,0.015,0.11689999999999999,0.2862,641510.0,19.77,Feb 09/b
54,OSCR,"Oscar Health, Inc.",Healthcare,Healthcare Plans,1100000000.0,0.4514,0.8208,-0.2722,0.0931,0.0603,0.43770000000000003,1680000.0,5.08,Feb 09/a
55,NM,Navios Maritime Holdings Inc.,Industrials,Marine Shipping,60590000.0,0.4422,0.48700000000000004,0.2986,0.0642,0.25739999999999996,0.4608,100430.0,2.87,Nov 22/b
56,KTCC,Key Tronic Corporation,Technology,Computer Hardware,71450000.0,0.44179999999999997,0.3822,0.3461,0.0693,0.0004,0.2334,34160.0,6.69,Jan 31/a
57,RDW,Redwire Corporation,Industrials,Aerospace & Defense,253150000.0,0.44,0.6667000000000001,0.3091,0.1264,0.1418,0.38659999999999994,589540.0,3.6,-
58,TNP,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,663270000.0,0.43829999999999997,0.3556,0.5057,0.0472,0.18030000000000002,0.3089,371420.0,23.79,Nov 22/b
59,SPRY,"ARS Pharmaceuticals, Inc.",Healthcare,Biotechnology,867640000.0,0.43060000000000004,0.4796,0.7578,0.065,0.1534,0.1928,245310.0,9.07,-
60,ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,430850000.0,0.42969999999999997,0.6504000000000001,,0.1602,0.044000000000000004,0.34,23100.0,20.63,-
61,FUSN,Fusion Pharmaceuticals Inc.,Healthcare,Biotechnology,209200000.0,0.42119999999999996,1.1048,0.9344,0.0812,0.0924,0.226,363130.0,4.42,-
62,SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,5250000000.0,0.41409999999999997,0.1027,0.4727,0.0588,0.1485,0.2248,1510000.0,102.0,Jan 31/a
63,OPRA,Opera Limited,Communication Services,Internet Content & Information,1020000000.0,0.414,0.9802,1.0611,0.0668,0.24050000000000002,0.4129,172480.0,9.0,Feb 27/b
64,LVO,"LiveOne, Inc.",Communication Services,Entertainment,93260000.0,0.4133,0.493,0.0969,0.1142,0.0868,0.3331,228770.0,1.06,Feb 09/b
65,CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,143970000.0,0.41229999999999994,1.3503999999999998,0.5784,0.1124,-0.0594,0.3106,132460.0,3.22,Mar 09/a
