,Ticker,Company,Sector,Industry,Market Cap,Perf Month,Perf Quart,Perf Half,Volatility M,SMA20,SMA50,Avg Volume,Price,Earnings
0,AMAM,Ambrx Biopharma Inc.,Healthcare,Biotechnology,342540000.0,4.8373,19.6083,5.9712,0.31670000000000004,0.8209000000000001,1.9241,6010000.0,9.69,-
1,BLPH,"Bellerophon Therapeutics, Inc.",Healthcare,Biotechnology,66069999.99999999,3.1807,6.1539,4.6885,0.2847,2.0462000000000002,2.3671,2210000.0,6.94,-
2,GNLX,Genelux Corporation,Healthcare,Biotechnology,617590000.0,2.9574000000000003,,,0.2446,0.653,1.0407,197520.0,22.32,-
3,SERA,"Sera Prognostics, Inc.",Healthcare,Diagnostics & Research,121580000.0,2.16,2.0859,1.2570999999999999,0.1532,0.2854,0.8922,1400000.0,3.95,Mar 22/a
4,MTC,"MMTec, Inc.",Technology,Software - Application,170310000.0,1.6115000000000002,0.8077,-0.0053,0.27390000000000003,0.5687,0.8993000000000001,873320.0,1.88,-
5,SESN,"Sesen Bio, Inc.",Healthcare,Biotechnology,2560000000.0,1.569,1.8130000000000002,1.2973,0.060700000000000004,1.2483,1.4035,133670.0,12.58,-
6,STIX,"Semantix, Inc.",Technology,Software - Application,356610000.0,1.5588,5.0387,0.8637999999999999,0.20879999999999999,0.5943,1.3574000000000002,95790.0,4.53,-
7,ATLX,Atlas Lithium Corporation,Basic Materials,Other Precious Metals & Mining,96860000.0,1.3455000000000001,1.1006,0.8103,0.18469999999999998,0.3301,0.7027,437200.0,16.7,-
8,DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,421800000.0,1.1478,0.8839,0.1278,0.1298,0.3791,0.7126,5220000.0,1.5,Mar 01/a
9,NGL,NGL Energy Partners LP,Energy,Oil & Gas Midstream,487210000.0,1.1104,1.9402000000000001,1.2484,0.1101,0.1446,0.6466,1050000.0,3.44,Feb 09/a
10,IMRX,Immuneering Corporation,Healthcare,Biotechnology,188780000.0,0.9159999999999999,0.3446,-0.1325,0.11699999999999999,0.5390999999999999,0.6647,41690.0,7.53,Mar 06/a
11,KBAL,"Kimball International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",456650000.0,0.7619,0.9265000000000001,0.7045999999999999,0.0233,0.6701999999999999,0.7328,368830.0,12.58,Feb 02/a
12,CTRM,Castor Maritime Inc.,Industrials,Marine Shipping,84400000.0,0.7323999999999999,0.7323999999999999,0.6931,0.0886,0.5976,0.7537,2060000.0,0.88,-
13,TA,TravelCenters of America Inc.,Consumer Cyclical,Specialty Retail,1270000000.0,0.7206999999999999,0.8245,0.5861999999999999,0.0123,0.1211,0.46270000000000006,518870.0,84.4,-
14,RETA,"Reata Pharmaceuticals, Inc.",Healthcare,Biotechnology,3110000000.0,0.6920000000000001,1.197,2.0646,0.1477,0.4249,0.741,1460000.0,82.96,-
15,BIVI,BioVie Inc.,Healthcare,Biotechnology,296990000.0,0.6365,0.3837,1.6898,0.1413,0.248,0.37979999999999997,827660.0,8.15,-
16,TCRX,"TScan Therapeutics, Inc.",Healthcare,Biotechnology,72690000.0,0.5924,0.36920000000000003,-0.1629,0.1079,0.0226,0.3016,165920.0,2.93,Mar 08/b
17,OBIO,"Orchestra BioMed Holdings, Inc.",Healthcare,Biotechnology,499780000.0,0.5643,0.4325,0.42090000000000005,0.154,0.2807,0.3635,96700.0,14.11,-
18,SBEV,"Splash Beverage Group, Inc.",Consumer Defensive,Beverages - Brewers,66610000.0,0.5288,0.5579,-0.1888,0.0966,0.2198,0.4359,193530.0,1.59,-
20,HRTG,"Heritage Insurance Holdings, Inc.",Financial,Insurance - Property & Casualty,94000000.0,0.5219,1.103,0.2482,0.0882,0.2994,0.4535,147690.0,3.47,Mar 02/a
21,UVE,"Universal Insurance Holdings, Inc.",Financial,Insurance - Property & Casualty,579370000.0,0.5188,0.7094,0.6239,0.0524,0.2186,0.43200000000000005,264380.0,18.94,Feb 23/a
22,LUXH,LuxUrban Hotels Inc.,Consumer Cyclical,Lodging,80400000.0,0.5144,0.6429,0.063,0.09949999999999999,0.0575,0.3246,67670.0,2.71,-
23,PTGX,"Protagonist Therapeutics, Inc.",Healthcare,Biotechnology,1200000000.0,0.5088,2.2680000000000002,1.7412,0.0745,0.4499,0.7372,1560000.0,25.0,-
24,LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense,222360000.0,0.501,0.578,0.6072,0.75,-0.30219999999999997,0.044800000000000006,1010000.0,15.67,-
25,BLBD,Blue Bird Corporation,Consumer Cyclical,Auto Manufacturers,702800000.0,0.4935,0.6215999999999999,0.7968999999999999,0.059800000000000006,0.0052,0.251,227500.0,20.61,Feb 08/a
26,FSTX,"F-star Therapeutics, Inc.",Healthcare,Biotechnology,156510000.0,0.48950000000000005,0.2829,0.1374,0.0663,0.3256,0.2987,771410.0,7.12,-
27,CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,827060000.0,0.4711,0.4722,0.39659999999999995,0.0045000000000000005,-0.0069,0.212,697460.0,19.58,Feb 09/b
28,SLQT,"SelectQuote, Inc.",Financial,Insurance Brokers,402990000.0,0.4636,3.0926,0.37270000000000003,0.16219999999999998,-0.0588,0.5476,2680000.0,2.21,Feb 07/b
29,MLTX,MoonLake Immunotherapeutics,Healthcare,Biotechnology,1170000000.0,0.4517,1.2702,1.7253999999999998,0.10400000000000001,0.1217,0.4507,137450.0,21.34,-
30,HY,"Hyster-Yale Materials Handling, Inc.",Industrials,Farm & Heavy Construction Machinery,776230000.0,0.447,0.5399,0.5717,0.0541,0.2458,0.3914,72990.0,45.58,Feb 27/a
31,SJ,Scienjoy Holding Corporation,Communication Services,Broadcasting,150000000.0,0.43119999999999997,0.8689,-0.0128,0.06570000000000001,0.0934,0.3532,97620.0,3.85,-
32,RPHM,"Reneo Pharmaceuticals, Inc.",Healthcare,Biotechnology,120110000.0,0.40259999999999996,1.2251,0.18719999999999998,0.0973,0.22719999999999999,0.4449,50220.0,4.25,-
33,GENC,"Gencor Industries, Inc.",Industrials,Farm & Heavy Construction Machinery,219330000.0,0.3985,0.40909999999999996,0.45880000000000004,0.0553,0.1149,0.273,23200.0,14.88,Dec 16/b
34,GOTU,Gaotu Techedu Inc.,Consumer Defensive,Education & Training Services,1180000000.0,0.397,2.1149,1.8813,0.1114,0.17379999999999998,0.2463,7560000.0,4.61,Feb 28/b
35,IKNA,"Ikena Oncology, Inc.",Healthcare,Biotechnology,161280000.0,0.39630000000000004,0.895,-0.1648,0.1144,0.1316,0.2133,72300.0,4.51,-
36,GEOS,Geospace Technologies Corporation,Energy,Oil & Gas Equipment & Services,92320000.0,0.3909,0.6302,0.3799,0.0565,0.18100000000000002,0.37170000000000003,40440.0,7.01,Feb 08/a
37,HLLY,Holley Inc.,Consumer Cyclical,Auto Parts,327490000.0,0.3897,0.12119999999999999,-0.4888,0.092,0.3214,0.18359999999999999,833400.0,2.96,Mar 09/b
38,NEO,"NeoGenomics, Inc.",Healthcare,Diagnostics & Research,2300000000.0,0.38939999999999997,0.4482,0.5821000000000001,0.0669,0.09230000000000001,0.3246,1060000.0,16.77,Feb 23/b
